ID,Description
COG0294,Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives
COG0295,cytidine deaminase activity
32VC0,COG0296 14-alpha-glucan branching enzyme
COG0296,Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position
COG0297,glycogen (starch) synthase activity
COG0298,carbon dioxide binding
COG0299,Catalyzes the transfer of a formyl group from 10- formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate
COG0300,oxidoreductase activity
COG0301,tRNA thio-modification
COG0302,gtp cyclohydrolase
COG0303,'Molybdopterin
COG0304,beta-ketoacyl-acyl-carrier-protein synthase II activity
COG0305,Participates in initiation and elongation during chromosome replication
COG0306,phosphate transporter
COG0307,riboflavin synthase, alpha
COG0308,aminopeptidase N
COG0309,Hydrogenase expression formation protein (HypE)
COG0310,cobalt ion transport
COG0311,Catalyzes the hydrolysis of glutamine to glutamate and ammonia as part of the biosynthesis of pyridoxal 5'-phosphate. The resulting ammonia molecule is channeled to the active site of PdxS
COG0312,modulator of DNA gyrase
COG0313,Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA
COG0314,molybdopterin synthase activity
COG0315,cyclic pyranopterin monophosphate synthase activity
COG0316,Belongs to the HesB IscA family
COG0317,In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance
COG0318,PFAM AMP-dependent synthetase and ligase
COG0319,Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA
COG0320,Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives
COG0321,lipoyl(octanoyl) transferase activity
30RG1,COG0322 Nuclease subunit of the excinuclease complex
COG0322,excinuclease ABC activity
COG0323,This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex
COG0324,Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A)
COG0325,Pyridoxal 5'-phosphate (PLP)-binding protein, which is involved in PLP homeostasis
COG0326,Molecular chaperone. Has ATPase activity
COG0327,Belongs to the GTP cyclohydrolase I type 2 NIF3 family
COG0328,RNA-DNA hybrid ribonuclease activity
COG0329,Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA)
COG0330,HflC and HflK could
COG0331,[acyl-carrier-protein] S-malonyltransferase activity
COG0332,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids
COG0333,Belongs to the bacterial ribosomal protein bL32 family
COG0334,Belongs to the Glu Leu Phe Val dehydrogenases family
COG0335,large ribosomal subunit rRNA binding
COG0336,Belongs to the RNA methyltransferase TrmD family
COG0337,Catalyzes the conversion of 3-deoxy-D-arabino- heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ)
COG0338,D12 class N6 adenine-specific DNA methyltransferase
COG0339,signal peptide processing
COG0340,biotin-[acetyl-CoA-carboxylase] ligase activity
COG0341,Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
COG0342,Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
COG0343,queuine tRNA-ribosyltransferase activity
COG0344,acyl-phosphate glycerol-3-phosphate acyltransferase activity
COG0345,Catalyzes the reduction of 1-pyrroline-5-carboxylate (PCA) to L-proline
COG0346,lactoylglutathione lyase activity
COG0347,Belongs to the P(II) protein family
COG0348,domain, Protein
COG0349,Exonuclease involved in the 3' processing of various precursor tRNAs. Initiates hydrolysis at the 3'-terminus of an RNA molecule and releases 5'-mononucleotides
COG0350,Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated
COG0351,phosphomethylpyrimidine kinase
COG0352,thiamine-phosphate diphosphorylase activity
COG0353,May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO
COG0354,folic acid binding
COG0355,proton-transporting ATP synthase activity, rotational mechanism
COG0356,it plays a direct role in the translocation of protons across the membrane
COG0357,Ribosomal RNA small subunit methyltransferase G
COG0358,DNA primase activity
COG0359,binds to the 23S rRNA
COG0360,Binds together with S18 to 16S ribosomal RNA
COG0361,One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex
COG0362,Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH
COG0363,glucosamine-6-phosphate deaminase activity
COG0364,Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone
COG0365,Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA
COG0366,Alpha amylase catalytic
COG0367,asparagine synthase
COG0368,Joins adenosylcobinamide-GDP and alpha-ribazole to generate adenosylcobalamin (Ado-cobalamin). Also synthesizes adenosylcobalamin 5'-phosphate from adenosylcobinamide-GDP and alpha-ribazole 5'-phosphate
COG0369,Component of the sulfite reductase complex that catalyzes the 6-electron reduction of sulfite to sulfide. This is one of several activities required for the biosynthesis of L- cysteine from sulfate. The flavoprotein component catalyzes the electron flow from NADPH - FAD - FMN to the hemoprotein component
COG0370,Transporter of a GTP-driven Fe(2 ) uptake system
COG0371,Dehydrogenase
COG0372,Belongs to the citrate synthase family
COG0373,Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA)
COG0375,protein maturation
COG0376,Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity
2ZC7I,COG0377 NADH ubiquinone oxidoreductase 20 kD subunit and related Fe-S oxidoreductases
COG0377,NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
COG0378,Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG
COG0379,Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate
COG0380,Probably involved in the osmoprotection via the biosynthesis of trehalose. Catalyzes the transfer of glucose from UDP-glucose (UDP-Glc) to D-glucose 6-phosphate (Glc-6-P) to form trehalose-6-phosphate. Acts with retention of the anomeric configuration of the UDP-sugar donor
COG0381,UDP-N-acetylglucosamine 2-epimerase activity
COG0382,Catalyzes the prenylation of para-hydroxybenzoate (PHB) with an all-trans polyprenyl group. Mediates the second step in the final reaction sequence of ubiquinone-8 (UQ-8) biosynthesis, which is the condensation of the polyisoprenoid side chain with PHB, generating the first membrane-bound Q intermediate 3- octaprenyl-4-hydroxybenzoate
COG0384,phenazine biosynthesis protein PhzF
COG0385,Bile acid
COG0386,Belongs to the glutathione peroxidase family
COG0387,Pfam Sodium calcium exchanger
COG0388,Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses L-glutamine as a nitrogen source
COG0389,Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII
COG0390,transport system, permease component
COG0391,Required for morphogenesis under gluconeogenic growth conditions
COG0392,lysyltransferase activity
COG0393,Putative heavy-metal-binding
COG0394,Belongs to the low molecular weight phosphotyrosine protein phosphatase family
COG0395,ABC-type sugar transport system, permease component
COG0396,ATPase activity
COG0397,Uncharacterized ACR, YdiU/UPF0061 family
COG0398,Pfam SNARE associated Golgi protein
COG0399,UDP-4-amino-4-deoxy-L-arabinose aminotransferase
COG0400,carboxylic ester hydrolase activity
COG0402,S-adenosylhomocysteine deaminase activity
COG0403,The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor
COG0404,The glycine cleavage system catalyzes the degradation of glycine
COG0405,Gamma-glutamyltransferase
COG0406,alpha-ribazole phosphatase activity
COG0407,Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III
COG0408,coproporphyrinogen oxidase activity
COG0409,Hydrogenase expression formation protein
COG0410,ABC transporter
COG0411,ABC transporter
COG0412,Dienelactone hydrolase
COG0413,3-methyl-2-oxobutanoate hydroxymethyltransferase activity
COG0414,Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate
COG0415,Belongs to the DNA photolyase family
COG0416,fatty acid biosynthetic process
COG0418,dihydroorotase activity
COG0419,ATPase involved in DNA repair
COG0420,3'-5' exonuclease activity
COG0421,Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine
COG0422,Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction
COG0423,glycine-tRNA ligase activity
COG0424,maF-like protein
COG0425,Belongs to the sulfur carrier protein TusA family
